诈骗信息,文章发布时间
广州市白云行知职业技术学校一学生报称被嫌疑人“冒充关系人”为由诈骗3万元。,2022-05-31 17:53:42
华南农业大学一学生报称被嫌疑人“引诱性网址链接”为由诈骗1.5万元。,2022-05-31 17:53:42
广东工程职业技术学院一学生报称被嫌疑人“购物交易”为由诈骗8000元。,2022-05-31 17:53:42
广东交通职业技术学院一学生报称被嫌疑人“刷单兼职”为由诈骗6091.3元。,2022-05-31 17:53:42
华南师范大学一学生报称被嫌疑人“冒充客服”为由诈骗6000元。,2022-05-31 17:53:42
广东省环境保护工程职业学院一学生报称被嫌疑人“购物交易”为由诈骗2627.12元。,2022-05-31 17:53:42
华南师范大学一学生报称被嫌疑人“中奖”为由诈骗2500元。,2022-05-31 17:53:42
暨南大学一学生报称被嫌疑人“冒充客服”为由诈骗1700元。,2022-05-31 17:53:42
广州现代信息技术工程学院一学生报称被嫌疑人“招聘求职”为由诈骗1200元。,2022-05-31 17:53:42
广州城市建设职业学校一学生报称被嫌疑人“冒充关系人”为由诈骗3300元。,2022-05-20 17:03:55
广东农工商职业技术学院一学生报称被嫌疑人“购物交易”为由诈骗3000元。,2022-05-20 17:03:55
广东省食品药品职业技术学校一学生报称被嫌疑人“购物交易”为由诈骗1799元。,2022-05-20 17:03:55
广东工业大学龙洞校区一学生报称被嫌疑人“购物交易”为由诈骗1600元。,2022-05-20 17:03:55
广东司法警官职业学院一学生报称被嫌疑人“冒充客服”为由诈骗1450元。,2022-05-20 17:03:55
暨南大学一学生报称被嫌疑人“刷单兼职”为由诈骗1149.9元。,2022-05-20 17:03:55
华南师范大学一学生报称被嫌疑人“购物交易”为由诈骗600元。,2022-05-20 17:03:55
中山大学新华学院一学生报称被嫌疑人“刷单兼职”为由诈骗19.7万元。,2022-05-15 12:31:17
华南农业大学一学生报称被嫌疑人“冒充公检法”为由诈骗7.3万元。,2022-05-15 12:31:17
广东技术师范大学一学生报称被嫌疑人“代办贷款”为由诈骗2.1万元。,2022-05-15 12:31:17
华南师范大学一学生报称被嫌疑人“引诱性网址链接”为由诈骗2万元。,2022-05-15 12:31:17
广东科学职业技术学院一学生报称被嫌疑人“冒充客服”为由诈骗9200元。,2022-05-15 12:31:17
广州体育职业技术学院一学生报称被嫌疑人“刷单兼职”为由诈骗8233.4元。,2022-05-15 12:31:17
广东食品药品职业学院一学生报称被嫌疑人“购物交易”为由诈骗7969元。,2022-05-15 12:31:17
广东工业大学一学生报称被嫌疑人“刷单兼职”为由诈骗6000元。,2022-05-15 12:31:17
广州体育职业学院一学生报称被嫌疑人“中奖”为由诈骗5999元。,2022-05-15 12:31:17
广东金融学院一学生报称被嫌疑人“冒充关系人”为由诈骗3500元。,2022-05-15 12:31:17
广东金融学院一学生被嫌疑人“投资理财”为由诈骗6.6万元。,2022-05-07 17:00:00
华南农业大学一学生被嫌疑人“刷单兼职”为由诈骗4.2万元。,2022-05-07 17:00:00
华南理工大学一学生被嫌疑人“冒充客服”为由诈骗2万元。,2022-05-07 17:00:00
华南师范大学一学生被嫌疑人“刷单兼职”为由诈骗8727元。,2022-05-07 17:00:00
